gu,bjd,apt_name_raw,lat,lng,subway_nearest_m,subway_count_500m,subway_count_1000m,subway_count_2000m,elem_school_nearest_m,elem_school_count_500m,elem_school_count_1000m,elem_school_count_2000m,middle_school_nearest_m,middle_school_count_500m,middle_school_count_1000m,middle_school_count_2000m,high_school_nearest_m,high_school_count_500m,high_school_count_1000m,high_school_count_2000m,childcare_nearest_m,childcare_count_500m,childcare_count_1000m,childcare_count_2000m,park_nearest_m,park_count_500m,park_count_1000m,park_count_2000m,park_within_1km,park_log1p_count_2km,library_nearest_m,library_count_500m,library_count_1000m,library_count_2000m,library_within_1km,library_log1p_count_2km,mart_nearest_m,mart_count_500m,mart_count_1000m,mart_count_2000m,department_nearest_m,department_count_500m,department_count_1000m,department_count_2000m,department_within_1km,department_log1p_count_2km,cctv_count_500m,cctv_count_1000m,cctv_count_2000m,hospital_nearest_m,hospital_count_500m,hospital_count_1000m,hospital_count_2000m,hospital_general_nearest_m,hospital_general_count_500m,hospital_general_count_1000m,hospital_general_count_2000m,academy_nearest_m,academy_count_500m,academy_count_1000m,academy_count_2000m
강남구,청담동,대우로얄카운티2,37.52605716495071,127.0475548817722,636.4,0,2,12,325.7,1,2,9,377.3,1,1,10,387.2,1,2,5,187.1,5,16,84,680.7,0,1,4,1,1.6094379124341003,186.9,1,2,5,1,1.791759469228055,391.7,1,2,8,543.9,0,2,3,1,1.3862943611198906,319,818,3367,453.7,1,28,44,3344.0,0,0,0,41.7,19,121,663
강남구,대치동,선릉역풍림아이원레몬,37.504179169604114,127.05143263193,243.5,2,6,19,377.2,1,2,10,347.2,1,4,10,347.2,1,2,7,262.9,7,39,120,1052.3,0,0,4,0,1.6094379124341003,751.8,0,1,8,1,2.1972245773362196,500.1,0,5,18,819.2,0,2,2,1,1.0986122886681098,276,1169,3837,872.1,0,4,35,2421.2,0,0,0,6.0,303,1285,2215
강남구,대치동,대치타워,37.502082489791,127.057387788767,762.3,0,6,21,385.0,1,3,12,540.6,0,4,14,540.6,0,4,10,114.1,15,46,113,751.4,0,1,4,1,1.6094379124341003,264.8,1,3,6,1,1.9459101490553132,81.9,2,9,13,675.1,0,2,2,1,1.0986122886681098,419,1061,3252,1323.9,0,0,10,2545.4,0,0,0,0.2,747,1653,2120
강남구,대치동,풍림아이원1차101동(910-3),37.50153240995947,127.05456911714968,607.5,0,3,21,224.9,1,3,11,560.8,0,5,14,560.8,0,4,10,105.1,13,50,124,966.1,0,1,3,1,1.3862943611198906,352.0,1,2,5,1,1.791759469228055,226.9,2,6,17,521.0,0,2,2,1,1.0986122886681098,395,1073,3467,1268.9,0,0,15,2335.7,0,0,0,23.6,901,1536,2176
강남구,도곡동,로덴하우스웨스트빌리지,37.48549701802601,127.0465443407052,162.4,1,3,11,664.3,0,4,15,112.1,1,4,11,839.0,0,2,12,306.3,1,28,133,551.8,0,1,2,1,1.0986122886681098,745.1,0,1,7,1,2.0794415416798357,607.0,0,4,23,1406.3,0,0,1,0,0.6931471805599453,245,935,3581,462.1,1,16,44,773.7,0,1,1,69.4,38,174,1783
강남구,역삼동,한양럭스,37.50429703494524,127.03456216841462,338.1,2,5,20,870.9,0,2,12,1188.4,0,0,9,1230.8,0,0,3,52.9,11,24,136,1808.7,0,0,1,0,0.6931471805599453,895.7,0,2,10,1,2.3978952727983707,872.7,0,2,22,1841.9,0,0,1,0,0.6931471805599453,331,1497,4500,656.9,0,5,33,2132.3,0,0,0,146.2,36,268,1749
강남구,논현동,e-편한세상,37.50686105140391,127.02875001221048,411.4,3,8,21,287.2,1,2,12,1046.9,0,0,8,1174.5,0,0,2,334.4,7,30,146,2056.8,0,0,0,0,0.0,789.9,0,1,9,1,2.302585092994046,569.8,0,3,25,2161.9,0,0,0,0,0.0,412,1506,4444,858.3,0,2,26,2527.3,0,0,0,85.4,37,282,1636
강남구,신사동,대성아파트,37.51950221644594,127.02439977840416,516.7,0,6,17,431.6,1,1,7,649.7,0,2,7,688.3,0,1,5,38.7,5,26,91,1099.9,0,0,1,0,0.6931471805599453,672.9,0,1,4,1,1.6094379124341003,332.4,2,3,14,916.0,0,1,3,1,1.3862943611198906,406,1118,3429,793.5,0,2,28,2359.5,0,0,0,63.1,115,449,929
강남구,청담동,삼환(101동),37.52158457923568,127.04757919229174,565.6,0,4,15,300.2,1,3,6,774.8,0,2,7,339.3,1,3,4,72.7,9,27,82,430.8,1,1,3,1,1.3862943611198906,294.1,2,3,4,1,1.6094379124341003,475.0,1,4,9,870.4,0,1,4,1,1.6094379124341003,332,1154,3491,132.6,19,34,45,3528.4,0,0,0,48.1,60,211,700
강남구,역삼동,지석천평대,37.494158585177665,127.03566568781382,722.1,0,3,19,295.9,1,3,11,648.6,0,3,9,648.6,0,1,8,46.3,6,29,123,930.6,0,1,1,1,0.6931471805599453,249.8,2,5,5,1,1.791759469228055,98.3,3,6,21,1585.0,0,0,1,0,0.6931471805599453,321,1142,4145,489.4,1,18,49,1003.5,0,0,1,71.8,95,478,1649
강남구,신사동,신사동씨티빌,37.52104994852903,127.02067972014376,526.8,0,3,16,389.5,1,2,7,401.0,1,2,8,514.9,0,1,3,320.5,5,25,86,1328.2,0,0,1,0,0.6931471805599453,897.9,0,2,3,1,1.3862943611198906,230.2,2,2,13,923.4,0,1,2,1,1.0986122886681098,329,1050,3146,1105.3,0,0,23,2011.2,0,0,0,56.5,117,388,854
강남구,청담동,청담디에브스아파트,37.5228849653728,127.049194299607,536.2,0,4,13,500.2,0,2,6,749.5,0,2,8,509.0,0,3,4,245.4,8,26,86,335.6,1,1,3,1,1.3862943611198906,245.7,2,2,5,1,1.791759469228055,498.4,1,3,8,858.2,0,1,4,1,1.6094379124341003,350,1006,3372,235.4,14,31,45,3337.9,0,0,0,163.5,40,170,626
강남구,청담동,골든아트빌,37.5199125772066,127.046931086169,569.4,0,4,15,196.8,1,3,6,585.2,0,2,8,325.9,1,3,5,72.0,13,30,83,511.7,0,1,4,1,1.6094379124341003,100.3,1,4,5,1,1.791759469228055,293.8,1,4,9,1001.2,0,0,4,0,1.6094379124341003,303,1173,3619,90.6,19,37,45,3663.5,0,0,0,44.8,58,225,800
강남구,삼성동,블루밍하우스,37.517419968994275,127.05225502136868,236.9,2,5,14,644.3,0,3,7,579.8,0,2,7,337.3,1,2,5,125.7,11,35,78,434.7,2,2,4,1,1.6094379124341003,545.7,0,3,5,1,1.791759469228055,162.8,1,4,9,1179.2,0,0,3,0,1.3862943611198906,279,1173,3404,193.6,12,25,45,3411.3,0,0,0,193.9,54,195,1032
강남구,청담동,상지리츠빌카일룸2차,37.52645070409117,127.05428520716718,792.2,0,1,8,830.7,0,2,10,870.9,0,1,9,933.7,0,1,5,137.0,6,10,105,592.3,0,1,3,1,1.3862943611198906,465.5,1,1,5,1,1.791759469228055,215.2,1,1,6,1106.9,0,0,2,0,1.0986122886681098,162,668,3353,435.5,1,13,40,2769.9,0,0,0,131.7,21,60,449
강남구,대치동,스카이써밋아파트,37.50113778196792,127.05831441457512,726.2,0,6,20,384.7,1,4,12,564.3,0,4,13,564.3,0,4,11,32.5,14,45,125,794.1,0,1,4,1,1.6094379124341003,161.8,1,3,6,1,1.9459101490553132,214.7,2,9,13,642.7,0,2,2,1,1.0986122886681098,431,1051,3174,1456.3,0,0,10,2527.3,0,0,0,28.9,897,1738,2108
강남구,청담동,연세힐하우스(Ⅱ),37.528489943954234,127.04737088867276,615.4,0,1,10,196.9,1,2,9,226.6,1,1,10,314.9,1,2,5,414.1,4,14,83,914.0,0,1,5,1,1.791759469228055,414.0,1,1,6,1,1.9459101490553132,439.5,1,1,7,487.4,1,2,3,1,1.3862943611198906,237,730,3452,557.6,0,11,39,3285.8,0,0,0,201.8,8,66,647
강남구,역삼동,명인갤러리2차,37.497622557888384,127.0423303640208,616.3,0,4,19,717.9,0,2,13,585.3,0,3,14,739.5,0,1,8,303.2,12,38,128,847.1,0,1,1,1,0.6931471805599453,836.4,0,2,8,1,2.1972245773362196,566.9,0,6,22,968.9,0,1,2,1,1.0986122886681098,240,975,4419,1144.3,0,0,54,1428.8,0,0,1,65.5,56,569,2453
강남구,청담동,한신오페라하우스2차,37.518893264076546,127.04533774465824,401.8,2,6,15,147.6,1,3,8,486.2,1,1,8,311.3,1,2,5,117.4,13,30,84,683.3,0,1,4,1,1.6094379124341003,99.9,1,4,5,1,1.791759469228055,116.3,2,4,9,1055.0,0,0,4,0,1.6094379124341003,301,1185,3778,75.1,22,39,45,3795.4,0,0,0,47.9,88,217,874
