school_name,school_type,gu,dong,address,address_detail,founded,lat,lng,geocode_source
서울영본초등학교,초등학교,동작구,본동,서울특별시 동작구 만양로12가길 69,/ 서울영본초등학교 (본동),19671127,37.5113065101691,126.94864052145,addr
서울영상고등학교,고등학교,양천구,신정동,서울특별시 양천구 목동로11길 46,/ 서울영상고등학교 (신정동),19611208,37.5232817223805,126.860283046403,addr
서울영서초등학교,초등학교,구로구,구로동,서울특별시 구로구 도림로20길 57,/ 영서초등학교 (구로동),19790202,37.4879630931966,126.895027399291,addr
서울영신초등학교,초등학교,영등포구,신길동,서울특별시 영등포구 도신로60길 23,(신길동),19671127,37.5101719627186,126.918122078214,addr
서울영원초등학교,초등학교,영등포구,도림동,서울특별시 영등포구 도영로 22길 31,(도림동),20020901,37.5107193620837,126.902182504089,addr
서울영일초등학교,초등학교,구로구,가리봉동,서울특별시 구로구 남부순환로105길 218,/ 서울영일초등학교 (가리봉동),19671129,37.4856100736284,126.883911257917,addr
서울영중초등학교,초등학교,영등포구,영등포동,서울특별시 영등포구 양산로 185,/ 서울영중초등학교 (영등포동7가),19490401,37.5241432995791,126.903695688306,addr
서울영풍초등학교,초등학교,송파구,거여동,서울특별시 송파구 오금로57길 15,/ 서울영풍초등학교 (거여동),19821010,37.4961862376383,127.143214689204,addr
서울영화초등학교,초등학교,동작구,대방동,서울특별시 동작구 등용로8길 3,/ 서울영화초등학교 (대방동),19620903,37.5089369468762,126.932815969374,addr
서울영희초등학교,초등학교,강남구,일원동,서울특별시 강남구 일원로 21,(일원동/영희초등학교),19461001,37.4923003980946,127.081132787699,addr
서울예술고등학교,고등학교,종로구,평창동,서울특별시 종로구 평창문화로 70,/ 서울예술고등학교 (평창동),19530321,37.6057079931502,126.967906461707,addr
서울오금초등학교,초등학교,송파구,오금동,서울특별시 송파구 위례성대로22길 11,(오금동/ 서울오금초등학교),19930720,37.5093704878322,127.131977915625,addr
서울오류남초등학교,초등학교,구로구,오류동,서울특별시 구로구 서해안로24길 22,(오류동/ 오류남초등학교),19820408,37.4897166823284,126.839098527316,addr
서울오류초등학교,초등학교,구로구,오류동,서울특별시 구로구 경인로19길 39,/ 서울오류초등학교 (오류동),19430523,37.4975370576845,126.842037699221,addr
서울오륜초등학교,초등학교,송파구,방이동,서울특별시 송파구 양재대로 1196,/ 서울오륜초등학교 (방이동),19881208,37.5124274792928,127.134396802963,addr
서울오봉초등학교,초등학교,도봉구,도봉동,서울특별시 도봉구 시루봉로 285,/ 서울오봉초등학교 (도봉동),20000301,37.6717184874026,127.040258979982,addr
서울오정초등학교,초등학교,구로구,오류동,서울특별시 구로구 경인로2길 10,/ 서울오정초등학교 (오류동),19860109,37.4901372514516,126.82641766297,addr
서울오현초등학교,초등학교,강북구,번동,서울특별시 강북구 월계로 221,(번동/오현초등학교),19911002,37.6232028439088,127.046225894356,addr
서울옥수초등학교,초등학교,성동구,금호동,서울특별시 성동구 금호로1길 25,/ 옥수초등학교 (금호동4가),19670327,37.5455293912538,127.021869551034,addr
서울옥정초등학교,초등학교,성동구,옥수동,서울특별시 성동구 한림말길 43,(옥수동/옥정초등학교),19710522,37.5423097389598,127.015785478614,addr
서울온곡초등학교,초등학교,노원구,상계동,서울특별시 노원구 한글비석로52길 59,(상계동/온곡초등학교),19880209,37.6673295252885,127.065597387199,addr
서울온라인학교,각종학교(고),성동구,행당동,서울특별시 성동구 왕십리로 199,(행당동),20250301,37.5552642216916,127.041141809583,addr
서울온수초등학교,초등학교,구로구,온수동,서울특별시 구로구 부일로 893,(온수동),19840127,37.4935106167356,126.826661571624,addr
서울왕북초등학교,초등학교,강남구,수서동,서울특별시 강남구 광평로31길 74,(수서동/왕북초등학교),19631031,37.4862610232719,127.086237195421,addr
서울외국어고등학교,고등학교,도봉구,창동,서울특별시 도봉구 덕릉로66길 22,(창동),19931005,37.6457807932104,127.0515086969,addr
서울외국인학교,외국인학교,서대문구,연희동,서울특별시 서대문구 연희로22길 39,(연희동),19120501,37.5701438180634,126.9363287278,addr
서울용강초등학교,초등학교,마포구,대흥동,서울특별시 마포구 백범로17길 9,(대흥동),19160426,37.549112429713,126.944058506049,addr
서울용곡초등학교,초등학교,광진구,중곡동,서울특별시 광진구 용마산로22길 82,/ 서울용곡초등학교 (중곡동),19780213,37.5671086161443,127.088452984118,addr
서울용답초등학교,초등학교,성동구,,서울특별시 성동구 용답25길 1,/ 서울용답초등학교 ,19830420,37.5607483738375,127.053786164972,addr
서울용동초등학교,초등학교,노원구,중계동,서울특별시 노원구 한글비석로1길 81-11,(중계동/용동초등학교),19910325,37.6410575739212,127.069114774673,addr
서울용두초등학교,초등학교,동대문구,용두동,서울특별시 동대문구 천호대로13길 43,(용두동),19481101,37.5764049847235,127.0283819823,addr
서울용마초등학교,초등학교,광진구,중곡동,서울특별시 광진구 천호대로113길 10,(중곡동),19720801,37.5578273465317,127.083527417056,addr
서울용산국제학교,외국인학교,용산구,한남동,서울특별시 용산구 이태원로 285,(한남동),20060808,37.541026413419,127.0011366074,addr
서울용산초등학교,초등학교,,,서울 용산구 한강대로57길 33,(한강로2가/용산초등학교),19451101,37.535613442977,126.972550624529,addr
서울용암초등학교,초등학교,용산구,용산동,서울특별시 용산구 녹사평대로60길 39,(용산동2가/ 용암초등학교),19650926,37.5453029008824,126.989434775031,addr
서울용원초등학교,초등학교,노원구,공릉동,서울특별시 노원구 섬밭로 144,/ 용원초등학교 (공릉동/ 서울용원초등학교),19950625,37.6299301501593,127.068936691961,addr
서울우면초등학교,초등학교,서초구,,서울특별시 서초구 태봉로,59,20120301,37.4653655626944,127.026054562784,addr
서울우솔초등학교,초등학교,서초구,우면동,서울특별시 서초구 양재대로2길 74,/ 서울우솔초등학교 (우면동),20130301,37.4570942208519,127.019275619438,addr
서울우신초등학교,초등학교,영등포구,신길동,서울특별시 영등포구 신길로 190,(신길동/우신초등학교),19150305,37.5098647213535,126.911863664868,addr
서울우암초등학교,초등학교,서초구,우면동,서울특별시 서초구 바우뫼로7길 38,(우면동/우암초등학교),19940805,37.4723005921488,127.023731348976,addr
서울우이초등학교,초등학교,강북구,수유동,서울특별시 강북구 삼양로99길 36,(수유동/서울우이초등학교),19491002,37.6386058279529,127.014240485582,addr
서울우장초등학교,초등학교,강서구,화곡동,서울특별시 강서구 화곡로 263,(화곡동/우장초등학교),19830610,37.5496381852817,126.845984193202,addr
서울원광초등학교,초등학교,노원구,중계동,서울특별시 노원구 덕릉로76길 18,(중계동/원광초등학교),19911030,37.654290852548,127.075304285056,addr
서울원당초등학교,초등학교,관악구,봉천동,서울특별시 관악구 봉천로 505,(봉천동),19721209,37.4813047920283,126.955766635019,addr
서울원명초등학교,초등학교,서초구,서초동,서울특별시 서초구 고무래로 90-6,(서초동/원명초등학교),19890704,37.5007499044884,127.017066977739,addr
서울원묵초등학교,초등학교,중랑구,묵동,서울특별시 중랑구 숙선옹주로 109,/ 서울원묵초등학교 (묵동),19951110,37.6177488108138,127.08681415088,addr
서울원신초등학교,초등학교,관악구,신림동,서울특별시 관악구 광신길 177,/ 원신초등학교 (신림동),20020710,37.4672075457163,126.92727524954,addr
서울원촌초등학교,초등학교,서초구,반포동,서울특별시 서초구 사평대로45길 26,(반포동/서울원촌초등학교),19790918,37.5062446440008,127.012346682947,addr
서울원효초등학교,초등학교,용산구,산천동,서울특별시 용산구 효창원로13길 38,/ 서울원효초등학교 (산천동/원효초등학교),19830511,37.5361612583146,126.951545316146,addr
서울월계초등학교,초등학교,노원구,월계동,서울특별시 노원구 월계로45가길 10,(월계동/월계초등학교),19920715,37.6279505755622,127.050869480548,addr
서울월곡초등학교,초등학교,성북구,장위동,서울특별시 성북구 장월로3길 42,(장위동/서울월곡초등학교),19710901,37.6100238748815,127.046083188246,addr
서울월정초등학교,초등학교,강서구,화곡동,서울특별시 강서구 월정로 176,(화곡동/월정초등학교),19811226,37.5349941902013,126.836293577736,addr
서울월천초등학교,초등학교,도봉구,창동,서울특별시 도봉구 노해로70길 96,(창동/서울월천초등학교),19880928,37.6479137277855,127.051425751311,addr
서울월촌초등학교,초등학교,양천구,목동,서울특별시 양천구 목동중앙로 132,(목동/서울월촌초등학교),19851012,37.5406954304154,126.876258028151,addr
서울웹툰애니메이션고등학교,고등학교,서초구,방배동,서울특별시 서초구 과천대로 852-23,(방배동),19940105,37.4694909673089,126.988245947982,addr
서울위례별초등학교,초등학교,송파구,장지동,서울특별시 송파구 위례광장로 243,/ 서울위례별초등학교 (장지동),20160301,37.4790497618126,127.145018831355,addr
서울위례솔초등학교,초등학교,송파구,,서울특별시 송파구 위례북로2길 12,/ 12 ,20220301,37.486734037842,127.150753871028,addr
서울위례초등학교,초등학교,강동구,둔촌동,서울특별시 강동구 명일로 23,(둔촌동),19811024,37.5223185221619,127.139436648101,addr
서울유현초등학교,초등학교,강북구,수유동,서울특별시 강북구 인수봉로37길 24,(수유동/서울유현초등학교),19740605,37.632286451855,127.011327052457,addr
서울윤중초등학교,초등학교,영등포구,여의도동,서울특별시 영등포구 여의나루로2길 14,(여의도동),19791226,37.5196416407122,126.92259080096,addr
서울율현초등학교,초등학교,강남구,자곡동,서울특별시 강남구 밤고개로21길 15,/ 서울율현초등학교 (자곡동),20140828,37.474558700755,127.108265007698,addr
서울은로초등학교,초등학교,동작구,흑석동,서울특별시 동작구 서달로 115,/ 서울은로초등학교 (흑석동),19081101,37.5033929766399,126.959778422441,addr
서울은명초등학교,초등학교,은평구,응암동,서울특별시 은평구 은평로4길 21-9,/ 서울은명초등학교 (응암동),20080716,37.5976791222992,126.918275747068,addr
서울은빛초등학교,초등학교,은평구,진관동,서울특별시 은평구 진관3로 73-17,(진관동),20110113,37.6426828611882,126.918730453447,addr
서울은정초등학교,초등학교,양천구,,서울특별시 양천구 목동남로 85,서울은정초등학교,19960710,37.5111416389366,126.867180395408,addr
서울은진초등학교,초등학교,은평구,진관동,서울특별시 은평구 진관1로 21-20,/ 은진초등학교 (진관동),20081231,37.6330440427703,126.920996007067,addr
서울은천초등학교,초등학교,관악구,봉천동,서울특별시 관악구 은천로 69,(봉천동),19580401,37.4865852040387,126.942679132637,addr
서울은평초등학교,초등학교,은평구,녹번동,서울특별시 은평구 은평로 239,(녹번동),19310401,37.6023040358796,126.934033612153,addr
서울을지초등학교,초등학교,노원구,중계동,서울특별시 노원구 중계로 239,(중계동),19940105,37.6505874233691,127.073350350295,addr
서울응봉초등학교,초등학교,성동구,응봉동,서울특별시 성동구 독서당로62길 28,(응봉동/ 응봉초등학교),20020712,37.5502533901839,127.033829695602,addr
서울응암초등학교,초등학교,은평구,응암동,서울특별시 은평구 가좌로6길 20,/ 서울응암초등학교 (응암동),19621112,37.5887531914177,126.921616096958,addr
서울의료보건고등학교,고등학교,중구,만리동,서울특별시 중구 만리재로37길 30,(만리동1가),19710531,37.5573014220873,126.966720436586,addr
서울이문초등학교,초등학교,동대문구,이문동,서울특별시 동대문구 신이문로 16,(이문동/ 서울이문초등학교),19670711,37.6018964867149,127.064885003959,addr
서울이수초등학교,초등학교,서초구,방배동,서울특별시 서초구 방배천로4길 23,서울이수초등학교 (방배동/이수초등학교),19770901,37.4781887381851,126.984058772938,addr
서울이태원초등학교,초등학교,용산구,이태원동,서울특별시 용산구 녹사평대로40길 19,(이태원동/이태원초등학교),19430501,37.5364777066784,126.987672660332,addr
서울인공지능고등학교,고등학교,송파구,거여동,서울특별시 송파구 양산로 21,(거여동),19910301,37.4916482412209,127.142085431868,addr
서울인수초등학교,초등학교,강북구,수유동,서울특별시 강북구 인수봉로 269,(수유동/서울인수초등학교),19820707,37.6430505301735,127.009135759866,addr
