BPLCNM,RDNWHLADDR,SITEWHLADDR,X,Y,UPTAENM
테판스테이션 롯데본점,"서울특별시 중구 남대문로 81, 롯데백화점 본점 지하1층 (소공동)",서울특별시 중구 소공동 1 롯데백화점 본점 ,198259.65357739,451392.198218657,백화점
(주)장군식품,"서울특별시 용산구 청파로 122 (한강로2가,농협용산백화점내)",서울특별시 용산구 한강로2가 15-19번지 농협용산백화점내 ,196813.258497258,447881.970772064,백화점
세븐일레븐 성동센트라스점,"서울특별시 성동구 왕십리로 410, F동 1층 105호 (하왕십리동, 센트라스)",서울특별시 성동구 하왕십리동 1070 센트라스 ,202372.912023599,451536.680876573,백화점
해원씨푸드,"서울특별시 광진구 능동로 92, 롯데백화점 지하1층 (자양동)",서울특별시 광진구 자양동 227-342 롯데백화점  지하1층 ,206217.434726027,448506.218743834,백화점
에이콥 베이커리 롯데백화점 건대스타시티점,"서울특별시 광진구 능동로 92, 롯데백화점 B1층 (자양동)",서울특별시 광진구 자양동 227-342 롯데백화점 ,206217.434726027,448506.218743834,백화점
조선속초코다리냉면 노원점,"서울특별시 노원구 동일로 1414, 롯데백화점 지하1층 (상계동)",서울특별시 노원구 상계동 713 롯데백화점 ,205320.28476675,461419.881795004,백화점
이마트월계점(중화),서울특별시 노원구 마들로3길 15 (월계동),서울특별시 노원구 월계동 333-1 ,205391.070378059,458333.989216339,백화점
이마트월계점,서울특별시 노원구 마들로3길 15 (월계동),서울특별시 노원구 월계동 333-1 ,205391.070378059,458333.989216339,백화점
이마트월계점(영양밥),서울특별시 노원구 마들로3길 15 (월계동),서울특별시 노원구 월계동 333-1 ,205391.070378059,458333.989216339,백화점
이마트월계점,서울특별시 노원구 마들로3길 15 (월계동),서울특별시 노원구 월계동 333-1 ,205391.070378059,458333.989216339,백화점
이마트월계점,서울특별시 노원구 마들로3길 15 (월계동),서울특별시 노원구 월계동 333-1 ,205391.070378059,458333.989216339,백화점
심포니9(Symphony9),"서울특별시 노원구 섬밭로 258 (중계동,(2층))",서울특별시 노원구 중계동 506-1번지 (2층) ,205645.891969072,459609.012509743,백화점
이마트월계점,서울특별시 노원구 마들로3길 15 (월계동),서울특별시 노원구 월계동 333-1 ,205391.070378059,458333.989216339,백화점
이마트월계점,서울특별시 노원구 마들로3길 15 (월계동),서울특별시 노원구 월계동 333-1 ,205391.070378059,458333.989216339,백화점
주식회사지노,"서울특별시 노원구 동일로 1414 (상계동,롯데백화점 지하1층 식품관)",서울특별시 노원구 상계동 713번지 롯데백화점 지하1층 식품관 ,205320.28476675,461419.881795004,백화점
델리카나,"서울특별시 노원구 노원로 330 (중계동, 517)",서울특별시 노원구 중계동 517,206132.432496938,460549.311157153,백화점
디드릭노원점,서울특별시 노원구 동일로 1414 (상계동),서울특별시 노원구 상계동 713번지 ,205320.28476675,461419.881795004,백화점
홈플러스(주),서울특별시 노원구 동일로204가길 지하 12 (중계동),서울특별시 노원구 중계동 509-2 ,205985.953324881,459730.43776924,백화점
그린포켓(롯데 본점),"서울특별시 중구 남대문로 81, 롯데백화점 본점 지하1층 (소공동)",서울특별시 중구 소공동 1 롯데백화점 본점,198259.65357739,451392.198218657,백화점
프레쉬테이블,"서울특별시 서대문구 신촌로 83, 현대백화점신촌점 지하1층 (창천동)",서울특별시 서대문구 창천동 30-33 현대백화점신촌점 ,194265.067639805,450433.691021245,백화점
송,"서울특별시 서대문구 신촌로 83, 현대백화점신촌점 10층 (창천동)",서울특별시 서대문구 창천동 30-33번지 현대백화점신촌점 10층 일부 ,194265.067639805,450433.691021245,백화점
롤러프레시,"서울특별시 서대문구 신촌로 83, 현대백화점신촌점 지하1층 (창천동)",서울특별시 서대문구 창천동 30-33번지 현대백화점신촌점 ,194265.067639805,450433.691021245,백화점
카도르그레이스,서울특별시 서대문구 신촌로 83 (창천동),서울특별시 서대문구 창천동 30-33번지 ,194265.067639805,450433.691021245,백화점
두부명가,"서울특별시 서대문구 신촌로 83 (창천동,현대백화점 지하1층)",서울특별시 서대문구 창천동 30-33번지 현대백화점 지하1층 ,194265.067639805,450433.691021245,백화점
본가스시,"서울특별시 서대문구 신촌로 83 (창천동,지하1층)",서울특별시 서대문구 창천동 30-33 지하1층 ,194265.067639805,450433.691021245,백화점
골든피스 갤러리아점,"서울특별시 강남구 압구정로 343, 갤러리아백화점 명품관 지하1층 (압구정동)",서울특별시 강남구 압구정동 494 갤러리아백화점,203470.848439305,447369.579851952,백화점
베이글리스트 현대백화점 목동점,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",서울특별시 양천구 목동 916 현대하이페리온,188884.075622342,447186.888604306,백화점
슬런치 팩토리 삼성점,"서울특별시 강남구 테헤란로 517, 현대백화점 무역센터점 지하1층 식품관 (삼성동)",서울특별시 강남구 삼성동 159-7 현대백화점,205210.358779172,445154.42225208,백화점
(주)두리물산,"서울특별시 마포구 신촌로 66 (노고산동, 1층일부)",서울특별시 마포구 노고산동 49-31번지 ,194020.023177469,450426.583343697,백화점
앤티앤스,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",서울특별시 양천구 목동 916 현대하이페리온 ,188884.075622342,447186.888604306,백화점
현대그린푸드목동점,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대백화점목동점내)",서울특별시 양천구 목동 916번지 현대백화점목동점내 지하2층 ,188884.075622342,447186.888604306,백화점
에이치에스마켓,"서울특별시 강남구 도곡로 401, 롯데백화점 지하1층 (대치동)",서울특별시 강남구 대치동 937 롯데백화점,204669.543366778,443873.621189048,백화점
스타벅스현대목동점,"서울특별시 양천구 목동동로 257 (목동,현대백화점 지하2층)",서울특별시 양천구 목동 916 현대백화점 지하2층 ,188884.075622342,447186.888604306,백화점
찬합 현대백화점목동점,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",서울특별시 양천구 목동 916 현대하이페리온 ,188884.075622342,447186.888604306,백화점
보난자커피 목동점,"서울특별시 양천구 목동동로 257, 지하1층 (목동, 현대하이페리온)",서울특별시 양천구 목동 916 현대하이페리온 ,188884.075622342,447186.888604306,백화점
샤브테이블,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대백화점목동점)",서울특별시 양천구 목동 916 현대백화점목동점 지하2층 ,188884.075622342,447186.888604306,백화점
록산푸드,"서울특별시 양천구 목동동로 309, 중소기업유통센터(행복한백화점) 구내매점 지하1층 (목동)",서울특별시 양천구 목동 917-6번지 중소기업유통센터(행복한백화점) 지하1층 구내매점 ,188977.171050288,447466.355031447,백화점
에키노마에,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",서울특별시 양천구 목동 916 현대하이페리온 ,188884.075622342,447186.888604306,백화점
기야마,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",서울특별시 양천구 목동 916 현대하이페리온 ,188884.075622342,447186.888604306,백화점
타쿠미야,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",서울특별시 양천구 목동 916번지 현대하이페리온 지하2층 ,188884.075622342,447186.888604306,백화점
슈르르카,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",서울특별시 양천구 목동 916 현대하이페리온 ,188884.075622342,447186.888604306,백화점
쉬즈베이글 행복한백화점점,"서울특별시 양천구 목동동로 309, 행복한백화점 1층 (목동)",서울특별시 양천구 목동 917-6 행복한백화점 1층 ,188977.171050288,447466.355031447,백화점
서울만두 EXPRESS(익스프레스),"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",서울특별시 양천구 목동 916 현대하이페리온 지하2층 ,188884.075622342,447186.888604306,백화점
콜렉티보 현대목동점,"서울특별시 양천구 목동동로 257, 3층층 (목동, 현대하이페리온)",서울특별시 양천구 목동 916 현대백화점목동점 3층 ,188884.075622342,447186.888604306,백화점
식탁위의 사계,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",서울특별시 양천구 목동 916 현대하이페리온 ,188884.075622342,447186.888604306,백화점
에낭 현대목동점,"서울특별시 양천구 목동동로 257, 지하1층 (목동, 현대하이페리온)",서울특별시 양천구 목동 916 현대하이페리온 ,188884.075622342,447186.888604306,백화점
주식회사 콜,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",서울특별시 양천구 목동 916 현대하이페리온 ,188884.075622342,447186.888604306,백화점
(주)행복생활에프앤비,"서울특별시 강서구 강서로56길 17, NC 강서점 지하1층 (등촌동)",서울특별시 강서구 등촌동 689 NC 강서점 지하1층 내 ,185824.428508883,450866.252126246,백화점
야미푸루따,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 지하 2층 일부호 (방화동)","서울특별시 강서구 방화동 882-1 김포공항, 롯데몰, 스카이시티 ",182443.369126587,452203.431859429,백화점
르뱅룰즈 타임스퀘어점,"서울특별시 영등포구 영중로 9, 신세계백화점 타임스퀘어점 지하1층 (영등포동4가)",서울특별시 영등포구 영등포동4가 434-5 신세계백화점,191581.500265536,446108.807192753,백화점
홍대쌀국수,"서울특별시 강서구 강서로56길 17, 지하1층 (등촌동, 3동 엔씨백화점)",서울특별시 강서구 등촌동 689번지 엔씨백화점 (지하 1층) ,185824.428508883,450866.252126246,백화점
스트릿츄러스 NC신구로점,"서울특별시 구로구 구로중앙로 152, NC백화점 지하1층 (구로동)",서울특별시 구로구 구로동 573 NC백화점 ,189570.360930049,444336.051330144,백화점
하이미엘 디큐브시티점,"서울특별시 구로구 경인로 662, 지하2층 (신도림동, 디큐브시티)",서울특별시 구로구 신도림동 692 디큐브시티 ,190107.045415333,445157.626366229,백화점
타쿠미야 디큐브시티점,"서울특별시 구로구 경인로 662, 지하2층 (신도림동, 디큐브시티)",서울특별시 구로구 신도림동 692 디큐브시티 ,190107.045415333,445157.626366229,백화점
송사부 수제쌀고로케,"서울특별시 구로구 구로중앙로 152, NC백화점 지하1층 (구로동)",서울특별시 구로구 구로동 573 NC백화점 ,189570.360930049,444336.051330144,백화점
옛날호떡,"서울특별시 구로구 경인로 662, 지하2층 (신도림동, 디큐브시티)",서울특별시 구로구 신도림동 692 디큐브시티 지하2층 ,190107.045415333,445157.626366229,백화점
정읍옛날김밥,"서울특별시 구로구 경인로43길 49, B동 1층 B101(MB-F01-030-001)호 (고척동, 고척아이파크)",서울특별시 구로구 고척동 351 고척아이파크 ,187422.915003999,444002.704579788,백화점
마리올라,"서울특별시 구로구 경인로 662, 지하2층 (신도림동, 디큐브시티)",서울특별시 구로구 신도림동 692 디큐브시티 ,190107.045415333,445157.626366229,백화점
