gu,bjd,apt_name_raw,apt_name_clean,matched_name,matched_addr,matched_road,lat,lng,match_level,query
관악구,봉천동,장미(917-1),장미,장미빌라,서울 관악구 봉천동 151-5,서울 관악구 솔밭로7길 13,37.48013501453222,126.96341388919866,3,장미 관악구 봉천동
관악구,봉천동,일동행복세상,일동행복세상,일동행복세상아파트,서울 관악구 봉천동 41-346,서울 관악구 은천로34길 8,37.485955262663154,126.95252934450372,3,일동행복세상 관악구 봉천동
관악구,봉천동,낙성대에메랄드,낙성대에메랄드,낙성대에메랄드아파트,서울 관악구 봉천동 1690-158,서울 관악구 남부순환로 1961-1,37.4760526849493,126.966961237786,3,낙성대에메랄드 관악구 봉천동
관악구,신림동,에셀비전21,에셀비전21,에셀비전21아파트,서울 관악구 신림동 1720,서울 관악구 남부순환로166길 90,37.479593320309945,126.92348742192264,3,에셀비전21 관악구 신림동
관악구,봉천동,갑을,갑을,갑을아파트,서울 관악구 봉천동 1700,서울 관악구 관악로5길 42,37.47511055299172,126.95212017279697,3,갑을 관악구 봉천동
관악구,남현동,문영마운틴,문영마운틴,문영마운틴아파트,서울 관악구 남현동 1072-57,서울 관악구 남부순환로260길 91,37.47253386919935,126.97254962985286,3,문영마운틴 관악구 남현동
관악구,봉천동,새진(645-0),새진,새진아파트(1653-10번지),서울 관악구 봉천동 1653-10,서울 관악구 인헌1길 59,37.47480383769187,126.97016906259437,3,새진 관악구 봉천동
관악구,신림동,중앙힐101동,중앙힐,중앙힐,서울 관악구 신림동 1684-1,서울 관악구 미성10길 6,37.4733324874191,126.912228431884,3,중앙힐 관악구 신림동
관악구,봉천동,생모리츠타운,생모리츠타운,생모리츠타운오피스텔,서울 관악구 봉천동 1574-1,서울 관악구 쑥고개로 100,37.47891995983108,126.94772318434626,3,생모리츠타운 관악구 봉천동
관악구,봉천동,새진(1653-10),새진,새진아파트(1653-10번지),서울 관악구 봉천동 1653-10,서울 관악구 인헌1길 59,37.47480383769187,126.97016906259437,3,새진 관악구 봉천동
