gu,dong,각종학교(고)수,각종학교(중)수,각종학교(초)수,고등기술학교수,고등학교수,공동실습소수,방송통신고등학교수,방송통신중학교수,외국인학교수,중학교수,초등학교수,특수학교수,평생학교(고)-2년6학기수,평생학교(고)-3년6학기수,평생학교(중)-2년6학기수,평생학교(초)-3년6학기수
구로구,항동,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
금천구,독산동,1,0,0,0,1,0,0,0,0,5,8,0,0,0,0,0
금천구,시흥동,0,1,0,0,5,0,0,0,0,3,10,0,0,0,0,0
노원구,공릉동,0,1,0,0,2,0,0,0,0,3,7,0,0,0,0,0
노원구,상계동,0,0,0,0,6,0,0,0,0,9,17,0,0,0,0,0
노원구,월계동,0,0,0,0,5,0,0,0,1,4,6,0,0,0,0,0
노원구,중계1동,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
노원구,중계동,0,0,0,0,8,0,0,0,0,6,9,0,1,0,1,0
노원구,하계동,0,0,0,0,3,1,0,0,0,3,3,2,0,0,0,0
도봉구,도봉동,0,0,0,0,1,0,0,0,0,2,3,1,0,0,0,0
도봉구,방학동,0,0,0,0,1,0,0,0,0,3,5,0,0,0,0,0
도봉구,쌍문동,0,0,0,0,4,0,0,0,0,5,6,0,0,0,0,0
도봉구,창동,0,0,0,0,3,0,0,0,0,3,9,0,0,0,0,0
동대문구,답십리동,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
동대문구,신설동,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
동대문구,용두동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
동대문구,이문동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
동대문구,장안동,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0
동대문구,전농동,0,0,0,0,2,0,0,0,0,3,5,0,1,1,0,0
동대문구,제기동,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0
동대문구,청량리동,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
동대문구,회기동,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0
동대문구,휘경동,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0
동작구,노량진동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
동작구,대방동,0,0,0,0,4,0,1,0,0,4,3,1,0,0,0,0
동작구,동작동,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
동작구,본동,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
동작구,사당동,0,0,0,0,1,0,0,0,0,3,6,0,1,1,1,0
동작구,상도1동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
동작구,상도동,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0
동작구,신대방동,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0
동작구,흑석동,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0
마포구,중동,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
마포구,공덕동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
마포구,노고산동,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
마포구,대흥동,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
마포구,도화동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
마포구,망원동,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
마포구,상수동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
마포구,상암동,0,0,0,0,1,0,0,0,2,1,3,0,0,0,0,0
마포구,서교동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
마포구,성산동,0,0,0,0,1,0,0,0,0,3,4,0,0,0,0,0
마포구,신수동,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
마포구,아현동,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0
마포구,연남동,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
마포구,염리동,0,0,0,0,2,0,0,0,0,1,2,0,1,0,1,0
마포구,합정동,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
서대문구,남가좌동,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
서대문구,대신동,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
서대문구,대현동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
서대문구,미근동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
서대문구,북가좌동,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
서대문구,북아현동,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0
서대문구,신촌동,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
서대문구,연희동,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0
서대문구,창천동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
서대문구,천연동,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
서대문구,현저동,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
서대문구,홍은동,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0
서대문구,홍제동,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
서초구,내곡동,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
서초구,반포동,0,0,0,0,2,0,0,0,2,5,5,0,0,0,0,0
서초구,방배동,0,0,0,0,4,0,0,0,0,3,5,0,0,0,0,0
서초구,서초동,1,0,0,0,3,0,0,0,0,3,6,0,0,0,0,0
서초구,신원동,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
서초구,양재동,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
서초구,염곡동,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
서초구,우면동,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
서초구,잠원동,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
성동구,금호동,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
성동구,마장동,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
성동구,사근동,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
성동구,성수동,0,0,0,0,2,0,0,0,0,4,4,0,0,0,0,0
성동구,송정동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
