region,year,rank,feature,mean_abs_shap,pct
강남3구,2024,1,건물연령,0.10490477830171585,17.689855575561523
강남3구,2024,2,department_nearest_m,0.09062852710485458,15.28248405456543
강남3구,2024,3,childcare_count_1000m,0.07068565487861633,11.919562339782715
강남3구,2024,4,hospital_general_nearest_m,0.04534543678164482,7.646498203277588
강남3구,2024,5,library_nearest_m,0.03910788521170616,6.594674587249756
강남3구,2024,6,academy_nearest_m,0.026302533224225044,4.435336589813232
강남3구,2024,7,academy_count_1000m,0.023088162764906883,3.8933045864105225
강남3구,2024,8,elem_school_nearest_m,0.021507153287529945,3.6267027854919434
강남3구,2024,9,park_nearest_m,0.020954245701432228,3.5334672927856445
강남3구,2024,10,mart_nearest_m,0.020105337724089622,3.390317678451538
강남3구,2025,1,childcare_count_1000m,0.10991665720939636,15.789344787597656
강남3구,2025,2,건물연령,0.09585793316364288,13.769832611083984
강남3구,2025,3,department_nearest_m,0.09103923290967941,13.07763385772705
강남3구,2025,4,academy_nearest_m,0.0485541969537735,6.974729537963867
강남3구,2025,5,hospital_general_nearest_m,0.030912386253476143,4.4405131340026855
강남3구,2025,6,library_nearest_m,0.02985384315252304,4.288454532623291
강남3구,2025,7,elem_school_nearest_m,0.02800833433866501,4.023350715637207
강남3구,2025,8,elem_school_count_1000m,0.027670804411172867,3.974864959716797
강남3구,2025,9,mart_nearest_m,0.026790739968419075,3.848445177078247
강남3구,2025,10,소비자물가지수,0.025731315836310387,3.696260690689087
비강남,2019,1,건물연령,0.10380397737026215,17.750429153442383
비강남,2019,2,childcare_count_1000m,0.061249662190675735,10.473661422729492
비강남,2019,3,subway_count_1000m,0.054582711309194565,9.333616256713867
비강남,2019,4,subway_nearest_m,0.043184272944927216,7.384488582611084
비강남,2019,5,academy_count_1000m,0.04262574762105942,7.2889814376831055
비강남,2019,6,department_nearest_m,0.041982922703027725,7.179059028625488
비강남,2019,7,hospital_general_nearest_m,0.030990304425358772,5.2993268966674805
비강남,2019,8,층,0.02609710581600666,4.462592124938965
비강남,2019,9,cctv_count_500m,0.02557850442826748,4.373911380767822
비강남,2019,10,elem_school_nearest_m,0.01839173398911953,3.144977331161499
비강남,2020,1,건물연령,0.09243818372488022,14.530106544494629
비강남,2020,2,subway_count_1000m,0.051909539848566055,8.15951919555664
비강남,2020,3,childcare_count_1000m,0.046772465109825134,7.352036476135254
비강남,2020,4,subway_nearest_m,0.04513029754161835,7.093908309936523
비강남,2020,5,department_nearest_m,0.041635897010564804,6.544632911682129
비강남,2020,6,academy_count_1000m,0.03967566788196564,6.236510276794434
비강남,2020,7,층,0.03381723165512085,5.315638542175293
비강남,2020,8,M2,0.03360084816813469,5.281625747680664
비강남,2020,9,CD금리,0.03296313062310219,5.181384563446045
비강남,2020,10,hospital_general_nearest_m,0.0317537859082222,4.991291046142578
비강남,2021,1,건물연령,0.08251120895147324,14.086559295654297
비강남,2021,2,childcare_count_1000m,0.0415322408080101,7.090507984161377
비강남,2021,3,subway_count_1000m,0.041092995554208755,7.015519142150879
비강남,2021,4,academy_count_1000m,0.040022894740104675,6.832828044891357
비강남,2021,5,cctv_count_500m,0.03920905292034149,6.693886756896973
비강남,2021,6,department_nearest_m,0.03899405151605606,6.657181262969971
비강남,2021,7,층,0.03728293627500534,6.365054130554199
비강남,2021,8,subway_nearest_m,0.03654684126377106,6.239385604858398
비강남,2021,9,hospital_general_nearest_m,0.02972850389778614,5.075338840484619
비강남,2021,10,elem_school_nearest_m,0.027506506070494652,4.695992946624756
비강남,2022,1,건물연령,0.09300468116998672,15.832742691040039
비강남,2022,2,cctv_count_500m,0.06136690825223923,10.446854591369629
비강남,2022,3,층,0.04561735317111015,7.765714168548584
비강남,2022,4,childcare_count_1000m,0.039445266127586365,6.71500301361084
비강남,2022,5,academy_count_1000m,0.03753014653921127,6.388980865478516
비강남,2022,6,subway_count_1000m,0.03554032742977142,6.050241947174072
비강남,2022,7,elem_school_nearest_m,0.033115021884441376,5.6373677253723145
비강남,2022,8,기준금리,0.030027642846107483,5.111784934997559
비강남,2022,9,subway_nearest_m,0.028733113780617714,4.891409397125244
비강남,2022,10,department_nearest_m,0.026537125930190086,4.517573356628418
비강남,2023,1,건물연령,0.11131170392036438,20.098512649536133
비강남,2023,2,academy_count_1000m,0.052527304738759995,9.484363555908203
비강남,2023,3,subway_count_1000m,0.043330904096364975,7.823855400085449
비강남,2023,4,childcare_count_1000m,0.04061056673526764,7.332669734954834
비강남,2023,5,subway_nearest_m,0.03708512708544731,6.696114540100098
