구,행정동,거래건수,단지수,법정동수
마포구,도화동,1385,13,2
마포구,망원1동,300,27,2
마포구,망원2동,625,51,1
마포구,상암동,1215,13,1
마포구,서강동,1375,23,4
마포구,서교동,433,20,2
마포구,성산1동,116,25,2
마포구,성산2동,1855,26,3
마포구,신수동,1280,19,4
마포구,아현동,2292,18,2
마포구,연남동,219,17,2
마포구,염리동,1062,10,2
마포구,용강동,1225,15,6
마포구,합정동,223,23,1
서대문구,남가좌1동,1412,8,1
서대문구,남가좌2동,1535,11,1
서대문구,북가좌1동,1103,10,1
서대문구,북가좌2동,497,20,1
서대문구,북아현동,1494,17,1
서대문구,신촌동,523,19,2
서대문구,연희동,795,43,2
서대문구,천연동,1293,8,4
서대문구,충현동,511,32,4
서대문구,홍은1동,1178,20,1
서대문구,홍은2동,729,53,1
서대문구,홍제1동,1410,33,1
서대문구,홍제2동,996,16,1
서대문구,홍제3동,617,10,1
서초구,내곡동,540,7,2
서초구,반포1동,1746,28,1
서초구,반포2동,1262,9,2
서초구,반포3동,1384,25,1
서초구,반포4동,763,71,3
서초구,반포본동,92,3,2
서초구,방배1동,651,46,1
서초구,방배2동,357,18,1
서초구,방배3동,720,45,2
서초구,방배4동,595,82,1
서초구,방배본동,667,38,3
서초구,서초1동,938,52,2
서초구,서초2동,1498,42,1
서초구,서초3동,1160,104,4
서초구,서초4동,1836,23,2
서초구,양재1동,1586,53,2
서초구,양재2동,138,31,2
서초구,잠원동,1346,36,1
성동구,금호1가동,1031,6,1
성동구,금호2·3가동,1635,8,2
성동구,금호4가동,1175,10,1
성동구,마장동,1059,20,1
성동구,사근동,247,5,2
성동구,성수1가1동,892,11,1
성동구,성수1가2동,625,12,1
성동구,성수2가1동,278,13,1
성동구,성수2가3동,290,7,1
성동구,송정동,248,6,1
성동구,옥수동,2430,21,1
성동구,왕십리2동,1446,15,2
성동구,왕십리도선동,1916,9,4
성동구,용답동,73,4,1
성동구,응봉동,1195,7,2
성동구,행당1동,833,8,1
성동구,행당2동,1912,6,1
성북구,길음1동,3135,12,1
성북구,길음2동,1118,9,3
성북구,돈암1동,851,9,1
성북구,돈암2동,2163,10,1
성북구,동선동,257,12,8
성북구,보문동,816,12,7
성북구,삼선동,682,13,5
성북구,석관동,1191,7,1
성북구,성북동,53,5,2
성북구,안암동,328,9,5
