전용면적,층,건물연령,강남구분,초등학교수,중학교수,고등학교수,공원수,백화점수,기준금리,CD금리,소비자물가지수,M2
-4263.41,63.649876,7152.0415,-12351.512,-3455.748,-2407.7627,-2622.736,3748.451,-12471.715,-2287.8435,-3045.823,3165.196,7946.1685
-54694.35,-4175.8643,18757.373,-13256.11,1696.4476,4789.3135,-4112.2876,-5004.094,-14775.478,-1298.402,-702.0581,7915.13,7380.427
-32229.082,1810.8959,-5949.4175,-6979.6436,-3364.4468,-2539.9834,-1036.9907,-4283.633,-2993.4067,875.6892,2174.876,-3136.829,4215.603
-6380.446,1217.1013,-14371.029,-11225.87,10721.794,-2356.6409,744.7239,4054.5684,-74.63119,-971.16864,-334.37625,6358.7603,10377.719
27900.496,-1139.9224,9.26742,-12495.165,-925.46893,748.3664,235.84123,6320.4404,-1145.3485,-220.90967,208.55302,-6606.2295,-17826.396
-85543.71,-425.38815,1082.9585,-7867.1943,-1528.9886,-221.64514,180.69115,2077.3386,-1424.8057,1417.4005,987.9847,1456.1959,4741.5537
-15373.177,1018.2638,-10783.802,-8763.499,7499.2017,10058.695,2589.9067,1629.599,2781.4487,1028.0769,1254.4453,-4685.8784,7429.49
-1295.4938,3723.4207,-9878.672,-10009.931,-1689.7615,-1287.0022,703.1941,5142.5703,-622.33075,734.91,1016.9124,-4947.3677,-11882.14
-82360.3,-974.20874,15222.851,-10111.229,-878.8313,-1187.853,365.71548,-3520.929,-3816.4512,923.2028,1510.1912,1374.5289,4263.799
14706.67,6526.044,-11840.638,-9864.128,2301.2131,18918.602,4117.467,4297.4824,1524.907,1131.9022,917.76355,-1876.7179,6778.1636
-14759.547,1726.8942,-13034.209,-9075.122,-2992.2651,-477.57407,-1796.5021,1765.736,2961.4136,1039.4758,2312.447,1006.3143,5943.2476
185390.88,-31875.713,-31545.252,66416.01,6683.1343,107.24254,1125.7214,-181.17381,43637.37,-3149.0,-558.1293,33328.19,3141.8047
145782.17,-474.66513,54722.32,42644.992,233.6271,3700.744,-4856.452,2062.0437,4918.217,2000.9309,244.32458,-16829.484,-12258.147
-9123.25,7715.767,-11968.767,-9587.454,-4180.1445,-4341.7695,-1254.284,-7467.316,-2578.8171,-1234.8123,-952.5792,6288.256,9502.999
31211.562,-1961.1483,53325.71,74058.62,11868.285,5440.277,1713.5022,3595.7844,18845.92,707.1468,3490.7637,-11284.416,-14501.345
-20968.895,-135.92514,-10661.235,-7539.679,-4487.751,-2928.1997,-972.9336,-4164.488,-2548.3723,-1547.2483,-4089.6682,2638.0535,5943.1226
-31043.797,-1758.6053,-1873.0797,-9986.595,-4268.972,-10138.948,897.8154,161.74344,-2721.5999,801.176,21.72297,-3933.5906,-7732.5034
-30787.832,-1881.8754,-5243.0166,-8194.811,-1185.3876,-1324.832,-790.24274,2913.7163,-2369.7385,717.6826,1537.3823,-3843.63,3811.835
-4583.2705,-4791.4536,-11954.224,-8595.312,-1100.7129,419.00824,459.0071,4143.6978,-1279.6665,841.87756,2480.6484,-4364.226,-4503.089
4061.0542,2289.7039,-15826.479,-12392.419,8236.467,-3233.9885,1113.3041,5404.7783,-2493.6716,-2085.9785,-7467.817,4324.013,7704.631
-41115.305,-1117.7292,-9824.732,-8061.0996,5372.3276,-2726.6877,3909.1096,-3200.34,-1767.9807,327.33646,451.81335,-886.2104,2955.225
56507.223,1470.4958,11469.473,-13843.424,10751.013,-1617.9785,3594.1843,5936.0405,-1875.0582,1197.3765,676.56287,-4097.1694,-12265.002
4714.2515,-8362.288,-10982.21,-13959.35,-6195.213,-15984.083,1224.5425,207.76225,-8318.64,-1917.1775,-3068.777,5267.833,9013.878
17621.0,9520.901,13328.341,56888.84,-11316.713,-3235.619,-1558.291,3614.9465,9376.203,-5049.3535,-5620.9346,7914.2266,9696.662
7377.799,2021.5564,-11591.973,-12941.762,-1454.3605,-10147.593,374.2988,-6951.035,-5811.939,-1573.014,-1880.9171,5610.628,7791.575
10034.1455,2787.9814,18606.94,-8938.655,11325.785,-1376.1924,1064.0107,7044.5537,1550.9552,963.4063,1010.44946,-6925.0015,-13989.358
-22504.738,-2723.1562,-7800.6606,-8400.837,-1278.3224,-1375.5828,-1022.3046,3413.9912,-3189.9648,676.79614,1359.3394,-4615.3633,-4065.824
27549.133,1927.7224,-6594.6836,-9243.832,463.64185,-3641.9368,-1466.4973,-5003.498,-2532.9443,1576.1028,1188.044,4646.997,10877.421
17239.2,5021.243,13606.673,55947.22,-11024.397,-4053.01,-1460.6083,3416.542,8843.323,-4852.2256,-7453.5166,7945.449,7431.4497
11332.724,-8138.164,-12839.806,-9739.06,12721.288,-1779.1665,2272.0906,4442.2456,742.61346,730.8642,258.8157,-603.1693,5959.776
-5545.083,-1505.2006,5456.7173,-14094.177,-1107.7953,-2471.6003,1127.497,-5655.496,-2284.3027,-1700.3375,-1943.7117,4437.8354,7846.9443
13458.928,480.89783,-13529.744,-10176.947,-789.07983,-1122.1594,695.0414,3311.2107,-1495.3705,1304.6421,2122.1165,-5108.197,-8879.74
12086.132,-4499.261,-12067.776,-8813.164,11401.312,-1343.3721,1774.8245,3569.5408,-267.69702,1052.8358,2200.6838,-4412.8105,-2563.3354
95596.016,-3234.741,56576.3,66392.47,8199.333,838.19617,5505.9355,2839.8289,39849.453,1916.0337,3366.0454,-17038.465,-15845.905
-9081.471,3064.8418,-4554.361,-8887.602,-789.33154,8081.6743,708.02264,-512.5006,10190.738,1022.22614,3029.0532,-3101.0542,2198.617
-17041.082,-3601.1162,-266.1225,-11691.922,5891.0557,-3396.911,468.86884,-9794.653,-3974.0732,-750.45807,-1929.188,3378.7227,10374.765
6522.91,-3424.1355,-12399.673,-10824.411,-5927.4316,-12435.792,731.77466,-1036.7266,-5641.14,640.31726,1936.6616,729.35223,5526.825
202783.52,-12149.231,-52855.918,51727.76,5073.014,-504.79245,2482.7305,1146.0627,15376.169,7475.489,8460.8955,25452.018,9779.394
-16173.692,-2161.7107,-4654.8257,46280.91,245.91151,408.8612,-711.7455,4230.347,5173.6914,935.214,162.80759,-10001.96,-13458.936
-22662.016,-719.2644,-9122.232,-7095.936,-4199.5728,-3067.2024,-233.84442,-3285.445,-2626.657,708.59717,801.68823,-3533.1099,-6904.4185
-38292.645,-306.96365,15492.06,-10210.875,-5629.2207,-8497.897,1078.0461,166.63889,-3286.7725,525.83716,743.4799,-4055.0176,-9529.845
-63019.78,242.81128,16392.588,-10051.772,2813.2258,-1339.7428,-195.65154,-4274.6924,-2928.4194,-242.74208,-2099.5957,-4056.471,-11231.811
17338.426,-572.3951,37782.777,-12712.6045,9509.079,-2180.1455,2676.7515,-6142.7026,-617.4735,1032.8041,423.8693,-5232.5996,-12836.058
-2206.4307,-6632.299,-11707.279,-9080.858,-579.8767,87.9359,704.25214,3370.4043,-302.39328,577.0956,537.81964,-4219.1475,-9826.874
25757.803,2224.5352,-2451.479,-12344.101,-2039.5444,-3742.2988,-797.702,-5792.345,-5119.9707,319.14047,1952.9158,-5692.6494,-5874.803
10068.304,3287.514,-14650.762,-11886.875,2651.4868,-3328.9968,511.23,-6638.794,-4353.1406,1041.9478,1682.4718,-4872.2046,-8673.994
-76928.56,2886.9634,15981.839,-13429.981,5431.38,-2062.2893,30.09364,-8245.279,-2938.3728,-475.51364,-24.548838,5320.86,7414.5073
20977.56,4885.71,-9631.754,-8801.598,-684.12585,-1867.4412,-1979.9246,3870.4253,-5809.584,1089.8181,1921.6187,-4251.0537,-11710.806
6499.142,3140.6824,45950.49,64021.152,-10048.736,-4457.601,-156.81042,4002.803,10372.338,-5319.464,-6489.759,7897.229,3283.734
31980.127,-9426.465,-30357.926,-12076.662,-2427.481,-949.94867,-3010.9856,2576.4966,2329.7275,642.68964,266.17123,-10431.601,-12384.15
23582.723,1741.2184,-12091.416,-11638.375,-160.95552,1747.24,-10248.752,-4816.404,-25866.209,459.29285,1839.814,-4157.194,6181.807
13918.457,-9065.186,-7354.199,56626.906,5303.5176,1536.667,418.78574,2453.132,10303.822,553.8969,204.2969,-6248.13,-14487.3
-11198.941,1558.5767,-12029.942,-10903.863,5493.4097,-2973.6755,1385.6046,-7360.01,-1449.712,-1479.2125,-2193.7744,5244.784,8167.421
-4961.17,-7925.2847,-8916.173,-9762.489,-3432.3667,-9833.639,517.57184,162.30911,-4403.5654,240.93256,973.15643,-2295.5176,-1417.5271
12739.849,-2765.9482,-13265.929,-10088.655,13620.395,-958.5874,962.4144,4326.2905,-157.33354,-1827.7206,-3094.5754,5482.7324,7946.973
63013.766,995.5729,35355.63,43393.812,-6852.204,-3294.9663,-5813.205,2973.2754,-4724.0625,-1028.2513,-7107.829,-7167.3047,-14343.696
7667.266,1911.3035,-369.47275,-12017.059,3927.2686,-2799.2268,470.11057,-7564.2715,-2209.111,864.0017,2097.9087,-5132.9014,-10675.671
31719.135,7691.179,-8233.471,-12389.035,13055.008,74.47616,3779.023,7073.025,-57.90078,38.15934,1202.1401,-7272.03,-17656.713
-17739.76,1202.111,1972.8292,-8266.772,-2735.4888,-1990.4995,-973.3708,-7546.171,-3972.7236,-2205.8347,-4895.1465,4259.5376,7376.0083
7288.348,-4681.027,-6917.664,-12916.378,2274.4534,3168.5515,-8018.4854,-4318.8906,-21646.564,1159.8402,2184.435,2455.3098,7813.3535
-42829.418,933.40857,-10761.915,27103.365,-9111.495,-6267.9033,-1915.8124,1670.3201,2276.3643,-485.60968,-3009.4136,-4038.414,-11170.508
7155.3774,-4730.388,-9111.453,-9268.667,8763.645,-1497.5698,724.5391,4707.079,1058.2617,-516.84155,-732.6064,-4819.4785,-13847.052
-44872.48,2407.0325,18536.627,-10155.354,-2932.019,-876.10315,-1500.7418,3064.616,-8887.315,688.96985,658.73114,-3688.2073,-6903.1963
9534.725,-2382.5205,-10562.141,-11345.735,3557.884,-4530.4097,-2574.1504,-5772.89,-1692.4763,-1240.3969,-1585.9384,6345.3364,9262.867
-21448.906,1823.9926,-8139.7026,-9194.964,-3104.3599,-3248.7537,1064.6024,8.956754,-8107.179,780.6349,851.69196,-1166.8069,3931.1448
-7585.221,-5344.9175,-5166.151,-7310.9224,948.4944,11068.315,1441.9535,-4669.1455,2339.5671,75.09923,-2666.1997,-7121.3765,-13149.718
47656.055,1399.7711,283.91544,-14452.384,-5443.4556,-4543.059,-2312.446,-9302.332,-15513.777,-4313.0864,-3334.9424,7046.0483,13574.038
-66095.41,-3252.724,18203.656,-12775.739,4587.7295,-3302.1743,3221.9353,-3602.1824,-1260.646,-257.7509,-1033.1254,7574.1997,8788.939
-23511.178,-6907.284,48525.688,67494.29,4366.239,1097.2769,1035.6472,3001.7708,9742.539,2409.2761,3903.328,6484.81,7835.6562
-6962.386,3095.0745,-8189.059,-12735.408,-1632.0353,-3728.277,808.5256,-5773.3306,-2211.0645,-1487.7693,-3431.0312,5529.2036,7556.425
24476.365,136.57776,14653.603,54916.824,-7892.4688,-1159.0559,-1933.2084,5229.27,4325.466,-266.1339,-2344.0957,-7167.504,-12701.582
4789.086,-421.3911,-13173.642,-8952.03,-2176.2488,954.0279,-1019.396,5873.02,-852.17584,994.058,1656.7825,-4355.5396,-10371.825
17049.889,-2931.0383,-4010.1655,-10587.603,-415.71417,-4017.134,-218.23634,-4873.9297,-1712.4967,915.9909,2340.1174,-4120.144,5907.752
-5814.747,906.3856,-11342.609,-10124.356,12950.577,-1300.9401,995.24854,4642.304,-39.511017,-828.98346,-3435.6448,5368.6416,8383.29
12028.399,-9026.255,-14244.696,-9464.671,9779.806,-3137.5027,322.34045,3837.0864,-1392.5562,1154.9403,2051.075,1793.6484,8960.448
4615.4136,-9398.828,-21277.555,-6274.732,10621.026,32864.363,-802.5045,1751.5422,11367.362,-628.505,122.22224,5129.2666,8461.638
91271.914,-3149.217,-10551.705,-12261.438,-1843.7213,-9272.122,-3084.887,798.714,-18932.031,-894.2552,-1625.1428,-14190.453,-20086.348
8340.31,5716.561,-7098.7295,-12262.669,2966.894,-3350.3862,663.9272,-6720.381,-2458.7595,1153.8385,2684.4722,-4681.468,-8953.018
-77047.7,-2174.863,13007.835,-10360.509,-993.3254,-1194.546,120.41822,-4086.267,-3405.6313,-1109.9119,-1430.5621,3996.8823,4251.05
