구,법정동,아파트명,행정동,구_spatial,행정동_spatial,adm_nm
마포구,서교동,기정MAY(247-28),서교동,마포구,서교동,서울특별시 마포구 서교동
마포구,서교동,대아,서교동,마포구,서교동,서울특별시 마포구 서교동
마포구,서교동,대우미래사랑,서교동,마포구,서교동,서울특별시 마포구 서교동
마포구,서교동,대운,서교동,마포구,서교동,서울특별시 마포구 서교동
마포구,서교동,메세나폴리스,서교동,마포구,서교동,서울특별시 마포구 서교동
마포구,서교동,삼익플라주서교1,서교동,마포구,서교동,서울특별시 마포구 서교동
마포구,서교동,서교푸르지오,서교동,마포구,서교동,서울특별시 마포구 서교동
마포구,서교동,센트레,서교동,마포구,서교동,서울특별시 마포구 서교동
마포구,서교동,신세계드림빌,서교동,마포구,서교동,서울특별시 마포구 서교동
마포구,서교동,에덴지우,서교동,마포구,서교동,서울특별시 마포구 서교동
마포구,서교동,엘림,서교동,마포구,서교동,서울특별시 마포구 서교동
마포구,서교동,엠제이더퍼스트홍대,서교동,마포구,서교동,서울특별시 마포구 서교동
마포구,서교동,청기와,서교동,마포구,서교동,서울특별시 마포구 서교동
마포구,서교동,함성참좋은,서교동,마포구,서교동,서울특별시 마포구 서교동
마포구,성산동,골든빌(210-10),성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,골든빌3차,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,골든빌6차,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,그레이스,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,대원,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,라인성서,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,만민하늘애,성산1동,마포구,연남동,서울특별시 마포구 연남동
마포구,성산동,반트,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,벨로스,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,보영퍼팩트,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,부림베스트빌,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,삼우캐슬,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,삼익플라주서교2차,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,삼호빌라트,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,상인파크빌,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,성사1차풍림아파트101동,성산1동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,성산동,성산2차e-편한세상,성산1동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,성산동,성산동성,성산1동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,성산동,성산동자담이움아파트,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,성산시영(대우),성산1동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,성산동,성산시영(선경),성산1동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,성산동,성산시영(유원),성산1동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,성산동,성산월드타운대림,성산1동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,성산동,성산힐아파트,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,성일빌딩,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,세원,성산1동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,성산동,엘지(214-15),성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,엘지(214-70),성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,예림아너스,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,월드,성산1동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,성산동,월드컵아이파크(666-0),성산1동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,성산동,월드컵아이파크(667),성산1동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,성산동,유안,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,한림101동,성산1동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,성산동,한림201동,성산1동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,성산동,해피존,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,해피존2,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,성산동,현대하이츠아파트,성산1동,마포구,성산1동,서울특별시 마포구 성산1동
마포구,신공덕동,kcc웰츠,공덕동,마포구,공덕동,서울특별시 마포구 공덕동
마포구,신공덕동,공덕아이파크,공덕동,마포구,공덕동,서울특별시 마포구 공덕동
마포구,신공덕동,공덕프로포즈Ⅱ,공덕동,마포구,공덕동,서울특별시 마포구 공덕동
마포구,신공덕동,대우메트로디오빌,공덕동,마포구,공덕동,서울특별시 마포구 공덕동
마포구,신공덕동,대우월드마크마포,공덕동,마포구,공덕동,서울특별시 마포구 공덕동
마포구,신공덕동,브라운스톤공덕아파트,공덕동,마포구,공덕동,서울특별시 마포구 공덕동
마포구,신공덕동,블레스하임,공덕동,마포구,공덕동,서울특별시 마포구 공덕동
마포구,신공덕동,신공덕1차삼성래미안1아파트,공덕동,마포구,공덕동,서울특별시 마포구 공덕동
마포구,신공덕동,신공덕e편한세상,공덕동,마포구,공덕동,서울특별시 마포구 공덕동
마포구,신공덕동,신공덕래미안2차,공덕동,마포구,공덕동,서울특별시 마포구 공덕동
마포구,신공덕동,신공덕래미안3차,공덕동,마포구,공덕동,서울특별시 마포구 공덕동
마포구,신공덕동,펜트라우스,공덕동,마포구,공덕동,서울특별시 마포구 공덕동
마포구,신수동,(91-511),신수동,마포구,대흥동,서울특별시 마포구 대흥동
마포구,신수동,경남아너스빌,신수동,마포구,신수동,서울특별시 마포구 신수동
마포구,신수동,대원칸타빌,신수동,마포구,신수동,서울특별시 마포구 신수동
마포구,신수동,마포경남아너스빌,신수동,마포구,신수동,서울특별시 마포구 신수동
마포구,신수동,밤섬경남아너스빌,신수동,마포구,신수동,서울특별시 마포구 신수동
마포구,신수동,벽산솔렌스힐,신수동,마포구,신수동,서울특별시 마포구 신수동
마포구,신수동,세양청마루,신수동,마포구,신수동,서울특별시 마포구 신수동
마포구,신수동,신수동르끌레브아파트,신수동,마포구,신수동,서울특별시 마포구 신수동
마포구,신수동,신수동성원,신수동,마포구,신수동,서울특별시 마포구 신수동
마포구,신수동,신촌삼익,신수동,마포구,신수동,서울특별시 마포구 신수동
마포구,신수동,신촌숲아이파크,신수동,마포구,신수동,서울특별시 마포구 신수동
마포구,신수동,하나테크노빌,신수동,마포구,대흥동,서울특별시 마포구 대흥동
마포구,신수동,현대,신수동,마포구,신수동,서울특별시 마포구 신수동
마포구,신정동,서강GS,신수동,마포구,신수동,서울특별시 마포구 신수동
마포구,신정동,씨제이리버힐,신수동,마포구,신수동,서울특별시 마포구 신수동
마포구,아현동,공덕자이,아현동,마포구,공덕동,서울특별시 마포구 공덕동
마포구,아현동,더클래시,아현동,마포구,아현동,서울특별시 마포구 아현동
마포구,아현동,마포래미안푸르지오1단지,아현동,마포구,아현동,서울특별시 마포구 아현동
마포구,아현동,마포래미안푸르지오2단지,아현동,마포구,아현동,서울특별시 마포구 아현동
마포구,아현동,마포래미안푸르지오3단지,아현동,마포구,아현동,서울특별시 마포구 아현동
마포구,아현동,마포래미안푸르지오4단지,아현동,마포구,아현동,서울특별시 마포구 아현동
마포구,아현동,마포센트럴 아이파크,아현동,마포구,공덕동,서울특별시 마포구 공덕동
마포구,아현동,마포트라팰리스2차,아현동,마포구,아현동,서울특별시 마포구 아현동
마포구,아현동,마포푸르지오더센트럴,아현동,마포구,아현동,서울특별시 마포구 아현동
마포구,아현동,삼환나띠르빌,아현동,마포구,아현동,서울특별시 마포구 아현동
마포구,아현동,서서울삼성,아현동,마포구,공덕동,서울특별시 마포구 공덕동
마포구,아현동,애오개아이파크,아현동,마포구,아현동,서울특별시 마포구 아현동
마포구,아현동,예미원,아현동,마포구,공덕동,서울특별시 마포구 공덕동
마포구,아현동,혜성,아현동,마포구,용강동,서울특별시 마포구 용강동
